time_ms,throttle,pitch,roll,yaw,m1,m2,m3,m4
949,1498,-3.88,3.07,0.28,1000,1000,1000,1000
1387,1498,-3.89,3.07,0.26,1000,1000,1000,1000
1566,1498,-3.88,3.06,0.24,1000,1000,1000,1000
1702,1498,-3.85,3.08,0.17,1000,1000,1000,1000
1835,1498,-3.89,3.07,0.18,1000,1000,1000,1000
1927,1498,-3.88,3.06,0.15,1000,1000,1000,1000
2044,1498,-3.86,3.06,0.23,1000,1000,1000,1000
2181,1498,-3.88,3.06,0.27,1000,1000,1000,1000
2272,1498,-3.86,3.05,0.09,1000,1000,1000,1000
2364,1499,-3.92,3.07,0.39,1000,1000,1000,1000
2498,1498,-3.9,3.06,0.04,1000,1000,1000,1000
2609,1498,-3.89,3.06,0.24,1000,1000,1000,1000
2770,1498,-3.88,3.09,0.24,1000,1000,1000,1000
2860,1498,-3.9,3.09,0.12,1000,1000,1000,1000
2973,1498,-3.91,3.08,0.18,1000,1000,1000,1000
3063,1498,-3.93,3.07,0.21,1000,1000,1000,1000
3178,1498,-3.94,3.05,0.11,1000,1000,1000,1000
3291,1498,-3.91,3.07,0.14,1000,1000,1000,1000
3384,1498,-3.9,3.09,0.27,1000,1000,1000,1000
3474,1498,-3.9,3.07,0.32,1000,1000,1000,1000
3567,1498,-3.87,3.05,0.21,1000,1000,1000,1000
3657,1498,-3.84,3.03,0.31,1000,1000,1000,1000
3750,1498,-3.88,3.04,0.25,1000,1000,1000,1000
3840,1498,-3.9,3.06,0.23,1000,1000,1000,1000
3956,1498,-3.86,3.08,0.27,1000,1000,1000,1000
4045,1498,-3.86,3.08,0.18,1000,1000,1000,1000
4162,1498,-3.88,3.08,0.09,1000,1000,1000,1000
4254,1498,-3.88,3.08,0.18,1000,1000,1000,1000
4342,1498,-3.91,3.06,0.08,1000,1000,1000,1000
4430,1498,-3.92,3.05,0.34,1000,1000,1000,1000
4525,1498,-3.91,3.07,0.18,1000,1000,1000,1000
4636,1498,-3.87,3.08,0.25,1000,1000,1000,1000
4753,1498,-3.87,3.09,0.27,1000,1000,1000,1000
4864,1498,-3.89,3.11,0.16,1000,1000,1000,1000
4979,1498,-3.9,3.11,0.2,1000,1000,1000,1000
5070,1498,-3.89,3.09,0.3,1000,1000,1000,1000
5182,1498,-3.87,3.08,0.18,1000,1000,1000,1000
5276,1498,-3.89,3.1,0.1,1000,1000,1000,1000
5388,1498,-3.89,3.1,0.24,1000,1000,1000,1000
5499,1498,-3.88,3.05,0.27,1000,1000,1000,1000
5592,1498,-3.88,3.07,0.25,1000,1000,1000,1000
5685,1498,-3.91,3.07,0.07,1000,1000,1000,1000
5777,1498,-3.9,3.08,0.25,1000,1000,1000,1000
5867,1498,-3.91,3.07,0.17,1000,1000,1000,1000
5956,1498,-3.92,3.07,0.14,1000,1000,1000,1000
6074,1498,-3.89,3.06,0.18,1000,1000,1000,1000
6182,1498,-3.86,3.05,0.19,1000,1000,1000,1000
6276,1498,-3.86,3.07,0.24,1000,1000,1000,1000
6369,1498,-3.87,3.06,0.09,1000,1000,1000,1000
6455,1500,-3.88,3.04,0.27,1000,1000,1000,1000
6546,1564,-3.91,3.07,0.23,1000,1000,1000,1000
6663,1740,-3.89,3.06,0.15,1000,1000,1000,1000
6753,1815,-3.85,3.07,0.35,1000,1000,1000,1000
6846,1831,-3.87,3.09,0.12,1000,1000,1000,1000
6980,1853,-3.89,3.1,0.35,1000,1000,1000,1000
7117,1786,-3.87,3.07,-0.08,1000,1000,1000,1000
7205,1508,-3.86,3.06,-0.08,1000,1000,1000,1000
7341,1498,-3.89,3.07,0.31,1000,1000,1000,1000
7428,1408,-3.83,3.05,0.18,1000,1000,1000,1000
7541,1000,-3.84,3.07,0.22,1000,1000,1000,1000
7724,1000,-3.87,3.05,0.09,1000,1000,1000,1000
7857,1498,-3.86,3.04,0.14,1000,1000,1000,1000
7969,1498,-3.89,3.05,0.14,1000,1000,1000,1000
8065,1498,-3.88,3.07,0.3,1000,1000,1000,1000
8176,1499,-3.86,3.07,0.07,1000,1000,1000,1000
8312,1498,-3.87,3.09,0.1,1000,1000,1000,1000
8409,1498,-3.85,3.07,0.22,1000,1000,1000,1000
8499,1498,-3.87,3.09,0.1,1000,1000,1000,1000
8588,1498,-3.87,3.1,0.07,1000,1000,1000,1000
8744,1498,-3.89,3.08,0.18,1000,1000,1000,1000
8863,1498,-3.89,3.06,0.22,1000,1000,1000,1000
8953,1498,-3.91,3.06,0.12,1000,1000,1000,1000
9043,1498,-3.92,3.09,0.32,1000,1000,1000,1000
9136,1498,-3.91,3.08,0.16,1000,1000,1000,1000
9250,1498,-3.91,3.07,0.31,1000,1000,1000,1000
9343,1498,-3.91,3.04,0.14,1000,1000,1000,1000
9476,1498,-3.87,3.07,0.2,1000,1000,1000,1000
9567,1498,-3.87,3.06,0.22,1000,1000,1000,1000
9678,1498,-3.87,3.04,0.24,1000,1000,1000,1000
9766,1498,-3.87,3.05,0.18,1000,1000,1000,1000
9861,1498,-3.87,3.03,0.01,1000,1000,1000,1000
9972,1498,-3.88,3.07,0.12,1000,1000,1000,1000
10084,1498,-3.84,3.05,0.26,1000,1000,1000,1000
10178,1498,-3.86,3.09,0.24,1000,1000,1000,1000
10268,1498,-3.87,3.1,0.28,1000,1000,1000,1000
10358,1498,-3.89,3.11,0.19,1000,1000,1000,1000
10475,1498,-3.84,3.08,0.22,1000,1000,1000,1000
10568,1498,-3.87,3.07,0.06,1000,1000,1000,1000
10679,1498,-3.9,3.05,0.09,1000,1000,1000,1000
10813,1498,-3.92,3.03,0.18,1000,1000,1000,1000
10976,1498,-3.92,3.06,0.08,1000,1000,1000,1000
11091,1498,-3.92,3.07,0.23,1000,1000,1000,1000
11228,1498,-3.91,3.09,0.32,1000,1000,1000,1000
11316,1498,-3.91,3.08,0.3,1000,1000,1000,1000
11449,1498,-3.9,3.06,0.18,1000,1000,1000,1000
11546,1498,-3.93,3.05,0.21,1000,1000,1000,1000
11636,1498,-3.93,3.06,0.35,1000,1000,1000,1000
11724,1498,-3.89,3.07,0.1,1000,1000,1000,1000
11836,1498,-3.88,3.07,-0.04,1000,1000,1000,1000
11927,1498,-3.9,3.08,-0.07,1000,1000,1000,1000
12018,1498,-3.9,3.09,0.27,1000,1000,1000,1000
12109,1498,-3.91,3.04,0.31,1000,1000,1000,1000
12243,1498,-3.9,3.07,0.24,1000,1000,1000,1000
12355,1498,-3.87,3.1,0.22,1000,1000,1000,1000
12450,1498,-3.88,3.07,0.21,1000,1000,1000,1000
12587,1498,-3.89,3.06,0.19,1000,1000,1000,1000
12747,1498,-3.87,3.05,0.27,1000,1000,1000,1000
12882,1498,-3.86,3.06,0.21,1000,1000,1000,1000
12975,1498,-3.82,3.04,0.05,1000,1000,1000,1000
13090,1498,-3.84,3.08,0.22,1000,1000,1000,1000
13180,1498,-3.86,3.05,0.0,1000,1000,1000,1000
13296,1498,-3.9,3.05,0.15,1000,1000,1000,1000
13386,1498,-3.85,3.07,0.34,1000,1000,1000,1000
13479,1498,-3.85,3.06,0.01,1000,1000,1000,1000
13567,1498,-3.87,3.02,0.18,1000,1000,1000,1000
13679,1498,-3.85,3.03,0.15,1000,1000,1000,1000
13792,1498,-3.87,3.05,0.09,1000,1000,1000,1000
13907,1498,-3.89,3.04,0.41,1000,1000,1000,1000
14002,1498,-3.88,3.05,0.18,1000,1000,1000,1000
14094,1498,-3.87,3.07,0.13,1000,1000,1000,1000
14231,1498,-3.9,3.04,0.17,1000,1000,1000,1000
14319,1498,-3.9,3.04,0.2,1000,1000,1000,1000
14437,1498,-3.91,3.03,0.23,1000,1000,1000,1000
14529,1498,-3.89,3.04,0.21,1000,1000,1000,1000
14646,1498,-3.89,3.05,0.15,1000,1000,1000,1000
14777,1498,-3.89,3.07,0.13,1000,1000,1000,1000
14869,1498,-3.89,3.07,0.34,1000,1000,1000,1000
14964,1498,-3.89,3.07,0.15,1000,1000,1000,1000
15052,1498,-3.86,3.09,0.15,1000,1000,1000,1000
15144,1498,-3.85,3.07,0.24,1000,1000,1000,1000
15235,1498,-3.87,3.08,0.23,1000,1000,1000,1000
